"Dinte"	"Tinte"
"Vikomte"	"Vicomte"
"Wem's"	"Wem_es"
"Leichhühner-Schreyen"	"Leichhühner-Schreien"
"andern"	"anderen"
"angestellet"	"angestellt"
"dediciret"	"dediziert"
"in's"	"ins"
"Rab"	"Herab"
"jetzo"	"jetzt"
"ob's"	"ob_es"
"Roggenbrod"	"Roggenbrot"
"wenn's"	"wenn_es"
"in's"	"ins"
"wird's"	"wird_es"
"geht's"	"geht_es"
"soll's"	"soll_es"
"darnach"	"danach"
"gradheraus"	"geradeheraus"
"Beest"	"Biest"
"Jungens"	"Jungen"
"unsern"	"unseren"
"Och"	"Auch"
"frühern"	"früheren"
"Wagschale"	"Waagschale"
"stockigter"	"stockiger"
"Er's"	"Er_es"
"sag's"	"sage_es"
"hat's"	"hat_es"
"Brever-Bruch"	"Breve-Bruch"
"Pyrmont'schen"	"Pyrmontischen"
"unserm"	"unserem"
"hab's"	"habe_es"
"hab's"	"habe_es"
"andern"	"anderen"
"waden"	"Waden"
"unserm"	"unserem"
"unsre"	"unsere"
"Er's"	"Er_es"
"Er's"	"Er_es"
"grade"	"gerade"
"drum"	"darum"
"'s"	"es"
"Hintern"	"Hinteren"
"geht's"	"geht_es"
"wenn's"	"wenn_es"
"gibt's"	"gibt_es"
"ist's"	"ist_es"
"Herre"	"Herr"
"gradeste"	"geradeste"
"jetzo"	"jetzt"
"Knieen"	"Knien"
"sag"	"sage"
"lässest"	"läsest"
"zunächsten"	"zunächst"
"sei's"	"sei_es"
"Mäler"	"Maler"
"unrecht"	"Unrecht"
"sichern"	"sicheren"
"jetzo"	"jetzt"
"Connexion"	"Konnexion"
"Märlein"	"Marlein"
"ist's"	"ist_es"
"Halberstädtische"	"Halbestädtische"
"                                                                                                           "	""
"                                "	""
"andern"	"anderen"
"unserm"	"unserem"
"unserm"	"unserem"
"Crefeld"	"Krefeld"
"Museo"	"Museum"
"dreien"	"drei"
"Narre"	"Narr"
"Narre"	"Narr"
"meinswegen"	"meinetwegen"
"andern"	"anderen"
"lässet"	"lässt"
"lässet"	"lässt"
"Narre"	"Narr"
"hannöverschen"	"hannoverschen"
"Rappuse"	"Rapuse"
"gehet"	"geht"
"Brodherrn"	"Brotherrn"
"gehet"	"geht"
"verneuert"	"erneuert"
"grade"	"gerade"
"tapfern"	"tapferen"
"Beest"	"Biest"
"Nu"	"Nun"
"Herre"	"Herr"
"sich's"	"sich_es"
"nu"	"nun"
"Puckel"	"Buckel"
"meinswegen"	"meinetwegen"
"Nu"	"Nun"
"Komm"	"Komme"
"Knix"	"Knicks"
"                                    "	""
"kaltgewordenen"	"kalt_gewordenen"
"war's"	"war_es"
"Leichhünerschreyen"	"Leichhühnerschreien"
"Hahnen"	"Hähne"
"Wächset"	"Wächst"
"jetzo"	"jetzt"
"lehre"	"Lehre"
"kurieuses"	"kurioses"
"zweyerley"	"zweierlei"
"ward"	"wurde"
"bey"	"bei"
"geführet"	"geführt"
"bemüheten"	"bemühten"
"Kaysers"	"Kaisers"
"ward"	"wurde"
"seyn"	"sein"
"beydes"	"beides"
"ward"	"wurde"
"gestraffet"	"gestraft"
"Kayserliche"	"Kaiserliche"
"hausete"	"hauste"
"träumete"	"träumte"
"dreimahl"	"dreimal"
"geruffen"	"gerufen"
"hinaussiehet"	"hinaussieht"
"siehet"	"sieht"
"Wehmuth"	"Wehmut"
"Kayserlichen"	"Kaiserlichen"
"Heyde"	"Heide"
"tod"	"Tod"
"rufte"	"rief"
"gleichete"	"glich"
"tod"	"Tod"
"andern"	"anderen"
"Thurm-Thüren"	"Turm-Türen"
"selbsten"	"selbst"
"leuten"	"Leuten"
"verguldete"	"vergüldete"
"dreyen"	"drei"
"Thür"	"Tür"
"Ehrn"	"Ehren"
"entstund"	"entstand"
"war's"	"war_es"
"passete"	"passte"
"unsern"	"unseren"
"bringet"	"bringt"
"finstern"	"finsteren"
"sintemalen"	"sintemal"
"Fürsehung"	"Vorsehung"
